CompanyNumber,CompanyName,BestEstimateEmployees,BestEstimateTurnover,WomenLed,IUK_GBP,Investment_GBP,RegisteredPostcode,Homepage_domain,financials_source
02224403,PADDINGTON ARTS,12.0,422660.0,1,0.0,0.0,W9 2BE,www.paddingtonarts.org.uk,DC
02263767,RICHEMONT INTERNATIONAL LIMITED,223.0,39202447.0,0,0.0,0.0,W1J 5QT,www.richemont.com,DC
02358009,SAUNDERS PARTNERSHIP LIMITED,43.0,1546108.0,0,0.0,0.0,AL7 1TW,www.saundersarchitects.com,DC
02369267,198 CONTEMPORARY ARTS AND LEARNING LIMITED,13.0,232459.0,0,0.0,0.0,SE24 0JT,www.198.org.uk,DC
02409911,LIVE NATION (MUSIC) UK LIMITED,1510.0,553509548.0,1,0.0,0.0,EC1M 4AY,www.livenation.co.uk,DC
02412313,VOLUND TIMBER LIMITED,28.0,8987048.0,0,0.0,0.0,N2 9DX,volundtimber.co.uk,DC
02420700,NOVA TECHSET LTD,12.0,5765440.0,0,0.0,0.0,UB4 0NN,novatechset.com,DC
02447900,JEWISH CARE,1868.0,77951182.0,0,0.0,0.0,NW11 9DQ,jewishcare.org,DC
02453001,DAR AL-HANDASAH (UK) LIMITED,2708.0,160470378.0,0,0.0,0.0,EC1N 2NS,sidaracollaborative.com,DC
02454054,WELOCALIZE UK LTD,176.0,16220901.0,0,0.0,0.0,W1W 8DH,www.welocalize.com,DC
02481989,TWW GROUP LIMITED,38.0,7034469.0,0,0.0,0.0,SE1 9HS,www.grey.com,DC
02490010,DUNNHUMBY INTERNATIONAL LIMITED,22.0,3751316.0,1,0.0,0.0,W6 7NL,www.dunnhumby.com,DC
02523725,WISE PRODUCTIONS (U.K.) LIMITED,91.0,3593772.0,1,0.0,0.0,EC4R 9AN,wiseproductions.co.uk,DC
02537210,NAVALMAR (UK) LIMITED,163.0,90117419.0,0,0.0,0.0,SW19 3SB,navalmar.co.uk,DC
02565571,MOTHER TONGUE LIMITED,106.0,40285619.0,0,0.0,0.0,SE1 0SW,www.mothertongue.com,DC
02609539,DISCO EQUIPMENT HIRE LIMITED,18.0,276300.0,1,0.0,0.0,EN4 8AZ,www.discoequipmenthire.co.uk,DC
02620738,CENTREPOINT COMPUTER SERVICES LIMITED,25.0,1781625.0,1,0.0,0.0,KT18 5AD,www.oomi.co.uk,DC
02625105,THEATRE DE COMPLICITE EDUCATION LIMITED,36.0,4183161.0,1,0.0,0.0,GL1 1RP,www.complicite.org,DC
02626306,DAY-MER,13.0,477701.0,0,0.0,0.0,N16 8PU,daymer.org,DC
02636107,TRAFALGAR UK THEATRES HIGH WYCOMBE LIMITED,212.0,6837500.0,0,0.0,0.0,GU7 1LQ,trafalgartickets.com,DC
02636958,IRIE DANCE THEATRE,13.0,815208.0,1,0.0,0.0,SE14 6LU,www.iriedancetheatre.org,DC
