Companynumber,Companyname,Latitude,Longitude,Sector,cluster,Region
13941851,Outra,51.47634,-0.182671,Advanced Manufacturing,14,London
14026488,Cahill,50.860217,-2.466615,Advanced Manufacturing,0,Dorset
14179598,Advance Joinery Group,51.941189,-2.884354,Advanced Manufacturing,0,The Marches
14290031,Pal International,52.693591,-1.342727,Advanced Manufacturing,25,West Midlands CA
14361841,Quality Pipe Supports,52.518254,-3.294018,Advanced Manufacturing,0,Wales
14457680,Riva,53.038439,-2.929984,Advanced Manufacturing,0,Wales
14466257,Electronics Direct,54.083792,-1.017307,Advanced Manufacturing,0,York and North Yorkshire CA
14493668,COP UK,53.557612,-2.023207,Advanced Manufacturing,27,Greater Manchester CA
14664514,Texcel Technology,51.463741,0.185026,Advanced Manufacturing,0,London
14708625,Setyres,51.870034,0.562774,Advanced Manufacturing,0,Essex
14887633,ESP Play,53.790479,-2.235376,Advanced Manufacturing,0,Lancashire
14961177,Hymec,50.418186,-4.091057,Advanced Manufacturing,0,Devon
15088338,Zenzero,51.521201,-0.103478,Advanced Manufacturing,14,London
15172699,MIS Healthcare,51.594643,-0.264463,Advanced Manufacturing,14,London
15206674,Carlick Contract Furniture,53.525608,-2.313833,Advanced Manufacturing,27,Greater Manchester CA
15215571,Brunner UK,51.525985,-0.109637,Advanced Manufacturing,14,London
15255329,Unette,53.111899,-2.591205,Advanced Manufacturing,0,Cheshire and Warrington
15498208,Red7Marine,52.045839,1.164236,Advanced Manufacturing,0,New Anglia
15655850,Jade Windows,53.721564,-1.645417,Advanced Manufacturing,10,West Yorkshire CA
15721518,Qualitex Hygiene Services,52.562307,0.085311,Advanced Manufacturing,0,Cambridgeshire and Peterborough
15796263,SBZ Corporation,51.601806,0.545443,Advanced Manufacturing,0,Essex
15841243,Frameclad,52.507414,-2.153206,Advanced Manufacturing,25,West Midlands CA
15843439,Omega Plastics Group (Holdings) Limited,54.92824,-1.617642,Advanced Manufacturing,18,North East CA
15865594,R Tindall Fabricators,53.539592,-2.130768,Advanced Manufacturing,27,Greater Manchester CA
16024713,Beaver Bridges,52.73385,-2.732496,Advanced Manufacturing,0,The Marches
16042075,Altham Fabtek,53.752069,-2.43613,Advanced Manufacturing,28,Lancashire
16076060,Bloomfields Horseboxes,53.302602,-1.103912,Advanced Manufacturing,0,East Midlands CCA
16337620,Ballicom,52.42665,-1.503108,Advanced Manufacturing,25,West Midlands CA
NI633870,CASC,54.501675,-6.039244,Advanced Manufacturing,0,Northern Ireland
NI649015,Moyola Precision Engineering,54.779428,-6.564595,Advanced Manufacturing,0,Northern Ireland
NI658979,RE-KKUR,54.264886,-7.459729,Advanced Manufacturing,0,Northern Ireland
NI662800,Topframe Engineering,54.782393,-6.585225,Advanced Manufacturing,0,Northern Ireland
NI666958,Comfizone Group,54.53695,-6.617648,Advanced Manufacturing,0,Northern Ireland
NI668659,Dontaur,54.856867,-6.274672,Advanced Manufacturing,0,Northern Ireland
NI687638,Shelbourne Motors,54.393245,-6.443936,Advanced Manufacturing,0,Northern Ireland
NI712411,DMAC Engineering,54.539777,-6.700863,Advanced Manufacturing,0,Northern Ireland
NI717537,Hutchinson,54.937583,-6.571947,Advanced Manufacturing,0,Northern Ireland
NI726864,Copas Technologies,54.340179,-6.282765,Advanced Manufacturing,0,Northern Ireland
NI730786,Sperrin Metal Storage Solutions,54.775163,-6.783323,Advanced Manufacturing,0,Northern Ireland
SC544670,MiAlgae,55.916075,-3.317325,Advanced Manufacturing,15,Scotland
SC547521,Harper,57.381112,-2.609848,Advanced Manufacturing,0,Scotland
SC569032,Clas-SiC Wafer Fab,56.126625,-3.29662,Advanced Manufacturing,0,Scotland
SC591736,Pacson Valves,56.490797,-2.954903,Advanced Manufacturing,0,Scotland
SC598159,Quin Global,56.416609,-3.482055,Advanced Manufacturing,0,Scotland
SC613673,Probe Test Solutions,55.780975,-4.101585,Advanced Manufacturing,0,Scotland
SC646388,Langfields Group Limited,57.143543,-2.120372,Advanced Manufacturing,16,Scotland
SC653890,Allied Vehicles,55.887472,-4.257336,Advanced Manufacturing,17,Scotland
SC680884,KDM Group,56.040129,-3.364456,Advanced Manufacturing,0,Scotland
SC770983,RSE,57.481471,-4.183204,Advanced Manufacturing,0,Scotland
07118169,4BG Group,52.035333,0.713836,Advanced Manufacturing,0,New Anglia
